AlcoholFlask = { "알코올 플라스크", "", "", "" }
Anvil = { "모루", "", "", "" }
BaseballBat = { "야구 방망이", "", "", "" }
BeerCan = { "맥주 캔", "", "", "" }
Brick = { "벽돌", "", "", "" }
BrokenEngine = { "망가진 엔진", "", "", "" }
Bucket = { "양동이", "", "", "" }
CanPaint = { "페인트 캔", "", "", "" }
Canteen = { "수통", "", "", "" }
CarBattery = { "자동차 배터리", "", "", "" }
Clamp = { "조임틀", "", "", "" }
FancyPainting = { "멋진 그림", "", "", "" }
Fan = { "선풍기", "", "", "" }
Fireaxe = { "소방 도끼", "", "", "" }
FireExtinguisher = { "소화기", "", "", "" }
FireHydrant = { "소화전", "", "", "" }
FoodCan = { "통조림", "", "", "" }
Gameboy = { "게임보이", "", "", "" }
Garbage = { "쓰레기", "", "", "" }
Hammer = { "망치", "", "", "" }
Jerrycan = { "기름통", "", "", "" }
Keyboard = { "키보드", "", "", "" }
Lantern = { "랜턴", "", "", "" }
LibraryLamp = { "도서관 램프", "", "", "" }
Plant = { "식물", "", "", "" }
Pliers = { "플라이어", "", "", "" }
Plunger = { "뚫어뻥", "", "", "" }
RetroToy = { "레트로 장난감", "", "", "" }
Screwdriver = { "스크류 드라이버", "", "", "" }
Sink = { "싱크대", "", "", "" }
SocketWrench = { "소켓 렌치", "", "", "" }
SqueakyToy = { "고무 오리", "", "", "" }
Suitcase = { "여행 가방", "", "", "" }
Toaster = { "토스터기", "", "", "" }
Toolbox = { "공구 상자", "", "", "" }
TopHat = { "실크햇", "", "", "" }
TrafficCone = { "라바콘", "", "", "" }
Vent = { "환풍구", "", "", "" }
WateringCan = { "물뿌리개", "", "", "" }
Wheel = { "바퀴", "", "", "" }
WineBottle = { "와인 병", "", "", "" }
Wrench = { "렌치", "", "", "" }

Syringe = { "주사기", "", "", "" }
SyringeGun = { "주사기총", "", "", "" }
CornerPipe = { "코너 파이프", "", "", "" }
SmallPipe = { "작은 파이프", "", "", "" }
FlowPipe = { "파이프", "", "", "" }
BrainJar = { "뇌가 담긴 병", "", "", "" }
ToyNutcracker = { "호두까기 인형 장난감", "", "", "" }
TestTube = { "시험관", "", "", "" }
TestTubeRack = { "시험관 랙", "", "", "" }
NutcrackerEye = { "호두까기 인형 눈", "", "", "" }
BlueTestTube = { "파란색 시험관", "", "", "" }
YellowTestTube = { "노란색 시험관", "", "", "" }
RedTestTube = { "빨간색 시험관", "", "", "" }
GreenTestTube = { "초록색 시험관", "", "", "" }
Crowbar = { "쇠지렛대", "", "", "" }
Plzen = { "플젠", "", "", "" }
Cup = { "컵", "", "", "" }
Microwave = { "전자레인지", "", "", "" }
Bubblegun = { "비눗방울 총", "", "", "" }
BrokenP88 = { "망가진 P88", "", "", "" }
Employee = { "직원", "", "", "" }
Mine = { "지뢰", "", "", "" }
Toothles = { "투슬리스", "", "", "" }
Crossbow = { "석궁", "", "", "" }
Physgun = { "피직스건", "", "", "" }
AmmoCrate = { "탄약 상자", "", "", "" }
Drink = { "음료수", "", "", "" }
Radio = { "라디오", "", "", "" }
Mouse = { "마우스", "", "", "" }
Monitor = { "모니터", "", "", "" }
Battery = { "건전지", "", "", "" }
Cannon = { "대포", "", "", "" }
HealthDrink = { "건강 음료", "", "", "" }
Chemical = { "화학 약품", "", "", "" }
DisinfectingAlcohol = { "소독용 알코올", "", "", "" }
Ampoule = { "앰풀", "", "", "" }
BloodPack = { "혈액 팩", "", "", "" }
FlipLighter = { "라이터", "", "", "" }
RubberBall = { "고무 공", "", "", "" }
VideoTape = { "비디오 테이프", "", "", "" }
FirstAidKit = { "구급 상자", "", "", "" }
GoldMedallion = { "금메달", "", "", "" }
SteelPipe = { "금속 파이프", "", "", "" }
Axe = { "도끼", "", "", "" }
EmergencyHammer = { "비상용 망치", "", "", "" }
Katana = { "카타나", "", "", "" }
SilverMedallion = { "은메달", "", "", "" }
PocketRadio = { "휴대용 라디오", "", "", "" }
TeddyPlush = { "곰 인형", "", "", "" }

ExperimentLogHyperAcid = { "Hyper Acid 실험 기록", "", "", "" }
